,name,price,review,message,discount_info
0,Dentley's® Rawhide-Free Turkey Tendon Rings Dog Chew - 6 Count,9.99,161,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
1,"Dentley's® Rawhide-Free 3.5"" Turkey Tendon Bone Dog Chew - 1 Count",1.99,106,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
2,Great Choice® Dog Jerky Treat - Chicken,15.99-41.99,266,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
3,"Dentley's® Gourmet 5"" Retriever Sticks Dog Chew - Chicken",9.99-17.99,173,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
4,Dentley's® Gourmet Rawhide Stuffed Rolls Dog Treats - Sweet Potato & Chicken,10.99-23.99,134,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
5,Simply Nourish® Soft Chews Original Dog Protein Stick Treat - Chicken & Cheese,6.99,32,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
6,"Greenies™ Adult Regular Dog Dental Treats - Natural, Oral Health, Original",4.98-53.99,7839,Save 35% On Your First Autoship Order!,Discounted Price
7,Great Choice® Dog Wrapped Treat - Chicken & Sweet Potato,15.99-24.99,146,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
8,"Dentley's® Rawhide-Free 5"" Retriever Sticks Dog Chew - Chicken, 10 Count",9.99,120,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
9,Milk-Bone Soft & Chewy Dog Treat All Ages - Filet Mignon,12.99,240,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Discounted Price
10,Dentley's® Rawhide-Free Turkey Tendon Bone Dog Chew - 1 Count,9.99,86,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
11,"Greenies™ Adult Large Dog Dental Treats - Natural, Oral Health, Original",8.98-53.99,16171,Save 35% On Your First Autoship Order!,Discounted Price
12,Simply Nourish® Original Soft Chews Dog Treat - Peanut Butter,6.99,22,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
13,Simply Nourish® Original Soft Chews Dog Treat - Bacon & Cheese,6.99,345,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
14,"Greenies™ Adult Teenie Dog Dental Treats - Natural, Oral Health, Original",4.98-53.99,9009,Save 35% On Your First Autoship Order!,Discounted Price
15,Simply Nourish® Soft Chews Original Dog Protein Stick Treat - Bacon & Cheese,6.59,32,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
16,"Simply Nourish® Source Dog Freeze-Dried Treat - Chicken, 10 Oz.",19.99,184,"Buy 1, Get 1 25% Off All Dog Treats & Chews",Old Price
17,"Purina® Beggin'® Strips Adult Dog Wet Food - 26.6 oz., No Artificial Colors, No Artificial Flavors",3.49-20.99,305,Save 35% On Your First Autoship Order!,Discounted Price
