name,deal_info,price,arr_info
Squeaky Dog Chew Toys Plush Dog Toy for Large Medium Small Dog Stuffed Dog Toys for Aggressive Chewer Durable Chewing Toys for Puppy Breed… (Grey),no discount,$14.99 ,"Tue, Sep 20"
"Sedioso Dog Toys, Dog Plush Toy for Large Breed, Cute Squeaky Dog Toys with Crinkle Paper , Dog Chew Toys for Puppy, Small, Middle, Big Dogs (Donkey(Grey))",no discount,$12.99 ,"Tue, Sep 20"
"Bullibone Nylon Dog Chew Toy Nylon Bone - Improves Dental Hygiene, Easy to Grip Bottom, and Permeated with Flavor (Beef, Large - Single)",no discount,$13.99 ,"Tue, Sep 20"
"DOOG - The Sticks ""Woody"" Fetch Toys Safer Than Real Sticks, Splinter Free, Glow-In-The-Dark Eyes, Floats, Easy to Clean",Save 15%,$9.99 ,"Wed, Sep 21"
WhiteTail Naturals - Water Buffalo Horns for Dogs (2 Pack Large) All-Natural Buffalo Horn Dog Bone - Long Lasting Chew Toy for Aggressive Chewers and Teething Puppies,no discount,$19.95 ,"Tue, Sep 20"
Nylabone Power Chew Knuckle Bone & Pop-in Treat Dog Toy Combo Knuckle Chicken X-Small (1 Count),no discount,$11.89 ,"Tue, Sep 20"
Ruff & Whiskerz Natural Stick Tugz Dog Toy,no discount,$16.47 ,"Wed, Sep 21"
"Bully Stick Holder - Small Size - Interactive Dog Toy, Dog Treat Holder, Slow Feeder, Treat Dispenser, Chew Toy and Dog Safety Device",no discount,$15.95 ,"Wed, Sep 21"
"Bully Stick Holder - Size Small Interactive Dog Toy, Dog Treat Holder, Slow Feeder, Treat Dispenser, Chew Toy and Dog Safety Device",no discount,$15.95 ,"Wed, Sep 21"
Starmark Treat Dispensing Tetraflex Dog Toy Small,Save 27%,$8.61 ,"Tue, Sep 20"
Devil Dog Pet Co Yak Cheese Himalayan Dog Chew - Premium Yak Chew - Heavy Duty All Natural Dog Treat for Teething Puppy and Aggressive Chewers - USA Veteran Owned Business (Large - 1 Pack),no discount,$11.97 ,"Tue, Sep 20"
Doggijuana | Get The Munchies Cookie | Refillable Catnip Dog Toy | Promotes Play and Helps Your Dog Chill | Includes Organic Catnip,no discount,$16.99 ,"Wed, Sep 21"
"iFetch Too Tennis Balls Dog Toys, Medium, Blue",no discount,$12.50 ,"Tue, Sep 20"
"WhiteTail Naturals| USA Prime Split-Cut Elk Antlers for Dogs | 3 Pack Small | All Natural Dog Chews | Naturally Shed, Cruelty-Free- Half Antler Horn Chew Toy",no discount,$24.99 ,"Tue, Sep 20"
"All for Paws Interactive Dog Chew Toys,Dog Treat Hider Toys,Plush Dog Toy,Rubber Dog Toy,Dog Toys for Aggressive Chewers",no discount,$5.99 ,
Giftable World Pet Plush Toy Dog and Safari Animals with Squeaker (Bubba Bear),no discount,$11.99 ,"Thu, Sep 22"
"Dog Squeaky Toys, No Stuffing Plush Chew Toy for Small Medium Dogs Puppy Aggressive Chewers Large Breed, 5 Pack Cute Animal Raccoon Squirrel Tiger Fox and Lion, Tough Durable Teething Interactive Gift",Limited time deal,$18.68 ,"Tue, Sep 20"
"Squeaky Plush Dog Toy Pack for Puppy, Small Stuffed Puppy Chew Toys 12 Dog Toys Bulk with Squeakers, Cute Soft Pet Toy for Small Medium Size Dogs",no discount,$20.98 ,"Tue, Sep 20"
Nylabone Power Chew Alternative Braided Bully Braid Stick Bully Flavor Large/Giant - Up to 50 lbs.,no discount,-1,"Tue, Sep 20"
"Pet Qwerks Real Wood Antler, with Smoked Cheese Flavor - Durable Dog Bone Toys for Moderate & Light Chewers | Made in USA, No Shards Or Sharp Points - for Xsmall Dogs & Teething Puppies",no discount,$3.99 ,"Tue, Sep 20"
Nylabone Puppy Alternative Dog Chew Toy Beef Flavor Small/Regular - Up to 25 lbs.,no discount,$14.86 ,"Thu, Sep 22"
"FOUR BROTHERS Elk Antlers for Dogs | Natural Dog Chew Bone | Premium Dog Chew Treat Toy | Ideal for Aggressive Chewers & All Dog Breeds | Long Lasting, Odor & Dirt Free (Size Medium)",no discount,$16.99 ,"Tue, Sep 20"
"Get Well Soon Dog Gifts, Small Dog Care Package, Dog Gift Basket with 2 Healthiest Treats and 2 Toys, Adorable Puppy Gift Basket, Doggie Gifts for All Dog Sizes - Fun Packaging",no discount,$35.99 ,"Tue, Sep 20"
"Starmark RubberTuff Treat Ball (Large), Orange",no discount,$14.66 ,"Tue, Sep 20"
Himalayan​ Pet Supply​ Bonehead Small,no discount,$7.48 ,"Tue, Sep 20"
"ZEUS Nosh Strong Dog Chew Bones, Dog Chew Toys for Aggressive Chewers, Long Lasting Chicken Flavor, Small",no discount,$8.81 ,"Tue, Sep 20"
