name,deal_info,price,arr_info
"Purina Beggin' Strips Made in USA Facilities Dog Treats, Original with Bacon - (2) 26 oz. Pouches",no discount,$21.19 ,"Tue, Sep 20"
"Purina Beggin' Strips Real Meat Dog Training Treats, Bacon & Cheese Flavors - (2) 26 oz. Pouches",no discount,$21.19 ,"Tue, Sep 20"
"Rachael Ray Nutrish Savory Roasters Real Meat Dog Treats, Roasted Chicken Recipe, 12 Ounces, Grain Free",no discount,$10.78 ,"Tue, Sep 20"
Amazon Brand – Wag Chewy Whole Muscle American Jerky Dog Treats – Chicken (1 lb),no discount,$15.99 ,"Tue, Sep 20"
"Blue Buffalo BLUE Bits Natural Soft-Moist Training Dog Treats, Chicken Recipe 11-oz Bag",no discount,$9.98 ,"Tue, Sep 20"
"PEDIGREE DENTASTIX Large Dog Dental Care Treats Original, Beef & Fresh Variety Pack, 2.73 lb.Pack (51 Treats)",no discount,$20.98 ,"Tue, Sep 20"
"Blue Buffalo Health Bars Natural Crunchy Dog Treats Biscuits, Apple & Yogurt, Pumpkin & Cinnamon, and Bacon, Egg, & Cheese 16-oz Variety Pack, 3Ct",no discount,$14.88 ,
"Buddy Biscuits Training Bites for Dogs, Low Calorie Dog Treats Baked in The USA, Bacon 10 oz.",no discount,$6.99 ,
"Purina Busy Bone Made in USA Facilities, Long Lasting Small/Medium Breed Adult Dog Chews, Peanut Butter Flavor - 6 ct. Pouch",no discount,$9.79 ,"Tue, Sep 20"
"Greenies Original Large Dental Dog Treats, 54 oz, Count of 34",no discount,-1,
"Rachael Ray Nutrish Burger Bites Real Meat Dog Treats, Beef Burger with Bison Recipe, 12 Ounces, Grain Free",no discount,$10.78 ,"Tue, Sep 20"
"Nudges Natural Dog Treats Homestyle Made with Real Chicken, Peas, and Carrots",no discount,$13.49 ,"Tue, Sep 20"
"Freeze-Dried Training Treats for Dogs, 475+ Treats Per Bag, Low Calorie, The Perfect High Value Training Reward (Comes in Beef Liver & Sweet Potato) (Liver)",no discount,$15.99 ,"Tue, Sep 20"
"Amazon Brand - Solimo Jerky Dog Treats, 2 Lb Bag (Chicken, Duck, Sweet Potato Wraps)",no discount,$19.99 ,"Tue, Sep 20"
"Amazon Brand – Wag Training Treats for Dogs (Chicken, Peanut Butter & Banana, Hip & Joint)",no discount,$7.49 ,"Tue, Sep 20"
"Pur Luv K9 Kabob Real Chicken, Duck, and Sweet Potato Dog Treats, Made with Real Chicken and Sweet Potato, Healthy, Easily Digestible, Long Lasting, and High Protein Dog Treat, 12 oz",no discount,-1,"Tue, Sep 20"
"Pet ‘n Shape - Chik ‘n Mix Variety Pack – Natural Chicken Puppy Treat Mix, Dog Rewards and Snacks – 16 Ounces",no discount,$17.99 ,"Tue, Sep 20"
"Milk-Bone Simply Original Dog Treats Biscuits for Large Dogs, 11 Pounds",no discount,$21.98 ,"Tue, Sep 20"
"Pet 'n Shape Chik 'n Hide Twists – Chicken Wrapped Rawhide Natural Dog Treats, Small, 16 oz",no discount,$18.99 ,"Tue, Sep 20"
"Purina Beneful Made in USA Facilities Dog Training Treats, Baked Delights Snackers - 36 oz. Pouch",no discount,$10.88 ,"Tue, Sep 20"
"Whole Paws Grain Free Beef & Sweet Potato Recipe Dog Biscuits, 16 oz",no discount,$6.99 ,
Nudges Natural Dog Treats Grillers Made with Real Steak,no discount,$13.49 ,"Tue, Sep 20"
(Value Pack) Nutri Bites Beef Liver Pets Treats Freeze Dried Premium Quality Single Ingredients High Protein 17.6 OZ for Dogs and Cats,no discount,$23.89 ,"Tue, Sep 20"
"True Chews Dog Treats, Chicken Bacon Recipe, 12 oz, Medium (019369-2303)",no discount,$12.98 ,"Tue, Sep 20"
"Amazon Brand - Wag Freeze-Dried Raw Single Ingredient Dog Treats (Chicken, Beef, Lamb), 3oz - 3.3oz",no discount,$9.23 ,"Tue, Sep 20"
"Whole Paws Grain Free Baked Salmon Recipe Dog Jerky Bites, 5 oz",no discount,$5.49 ,
Amazon Brand - Wag Treats Chicken and Waffle Bites 6oz,no discount,$8.75 ,"Tue, Sep 20"
