brand,name,price,review,message,category,channel,size
N/A,Squeaky Dog Chew Toys Plush Dog Toy for Large Medium Small Dog Stuffed Dog Toys for Aggressive Chewer Durable Chewing Toys for Puppy Breed… (Grey),$14.99 ,N/A,no discount,toys,amazon,"['S', 'M', 'L']"
N/A,"Sedioso Dog Toys, Dog Plush Toy for Large Breed, Cute Squeaky Dog Toys with Crinkle Paper , Dog Chew Toys for Puppy, Small, Middle, Big Dogs (Donkey(Grey))",$12.99 ,N/A,no discount,toys,amazon,"['S', 'L']"
N/A,"Bullibone Nylon Dog Chew Toy Nylon Bone - Improves Dental Hygiene, Easy to Grip Bottom, and Permeated with Flavor (Beef, Large - Single)",$13.99 ,N/A,no discount,toys,amazon,['L']
N/A,"DOOG - The Sticks ""Woody"" Fetch Toys Safer Than Real Sticks, Splinter Free, Glow-In-The-Dark Eyes, Floats, Easy to Clean",$9.99 ,N/A,Save 15%,toys,amazon,[]
N/A,WhiteTail Naturals - Water Buffalo Horns for Dogs (2 Pack Large) All-Natural Buffalo Horn Dog Bone - Long Lasting Chew Toy for Aggressive Chewers and Teething Puppies,$19.95 ,N/A,no discount,toys,amazon,['L']
N/A,Nylabone Power Chew Knuckle Bone & Pop-in Treat Dog Toy Combo Knuckle Chicken X-Small (1 Count),$11.89 ,N/A,no discount,toys,amazon,['S']
N/A,Ruff & Whiskerz Natural Stick Tugz Dog Toy,$16.47 ,N/A,no discount,toys,amazon,[]
N/A,"Bully Stick Holder - Small Size - Interactive Dog Toy, Dog Treat Holder, Slow Feeder, Treat Dispenser, Chew Toy and Dog Safety Device",$15.95 ,N/A,no discount,toys,amazon,['S']
N/A,"Bully Stick Holder - Size Small Interactive Dog Toy, Dog Treat Holder, Slow Feeder, Treat Dispenser, Chew Toy and Dog Safety Device",$15.95 ,N/A,no discount,toys,amazon,['S']
N/A,Starmark Treat Dispensing Tetraflex Dog Toy Small,$8.61 ,N/A,Save 27%,toys,amazon,['S']
N/A,Devil Dog Pet Co Yak Cheese Himalayan Dog Chew - Premium Yak Chew - Heavy Duty All Natural Dog Treat for Teething Puppy and Aggressive Chewers - USA Veteran Owned Business (Large - 1 Pack),$11.97 ,N/A,no discount,toys,amazon,['L']
N/A,Doggijuana | Get The Munchies Cookie | Refillable Catnip Dog Toy | Promotes Play and Helps Your Dog Chill | Includes Organic Catnip,$16.99 ,N/A,no discount,toys,amazon,[]
N/A,"iFetch Too Tennis Balls Dog Toys, Medium, Blue",$12.50 ,N/A,no discount,toys,amazon,['M']
N/A,"WhiteTail Naturals| USA Prime Split-Cut Elk Antlers for Dogs | 3 Pack Small | All Natural Dog Chews | Naturally Shed, Cruelty-Free- Half Antler Horn Chew Toy",$24.99 ,N/A,no discount,toys,amazon,['S']
