id,imperial_weight_min,imperial_weight_max,metric_weight_min,metric_weight_max,imperial_height_min,imperial_height_max,metric_height_min,metric_height_max,name,bred_for,breed_group,life_span_min,life_span_max,temperament,origin,reference_image_id,image,country_code
1,6,13,3,6,9,11.5,23,29,Affenpinscher,"Small rodent hunting, lapdog",Toy,10,12,"Stubborn, Curious, Playful, Adventurous, Active, Fun-loving","Germany, France",BJa4kxc4X,"{'id': 'BJa4kxc4X', 'width': 1600, 'height': 1199, 'url': 'https://cdn2.thedogapi.com/images/BJa4kxc4X.jpg'}",
2,50,60,23,27,25,27,64,69,Afghan Hound,Coursing and hunting,Hound,10,13,"Aloof, Clownish, Dignified, Independent, Happy","Afghanistan, Iran, Pakistan",hMyT4CDXR,"{'id': 'hMyT4CDXR', 'width': 606, 'height': 380, 'url': 'https://cdn2.thedogapi.com/images/hMyT4CDXR.jpg'}",AG
3,44,66,20,30,30,30,76,76,African Hunting Dog,A wild pack animal,,11,11,"Wild, Hardworking, Dutiful",,rkiByec47,"{'id': 'rkiByec47', 'width': 500, 'height': 335, 'url': 'https://cdn2.thedogapi.com/images/rkiByec47.jpg'}",
4,40,65,18,29,21,23,53,58,Airedale Terrier,"Badger, otter hunting",Terrier,10,13,"Outgoing, Friendly, Alert, Confident, Intelligent, Courageous","United Kingdom, England",1-7cgoZSh,"{'id': '1-7cgoZSh', 'width': 645, 'height': 430, 'url': 'https://cdn2.thedogapi.com/images/1-7cgoZSh.jpg'}",
5,90,120,41,54,28,34,71,86,Akbash Dog,Sheep guarding,Working,10,12,"Loyal, Independent, Intelligent, Brave",,26pHT3Qk7,"{'id': '26pHT3Qk7', 'width': 600, 'height': 471, 'url': 'https://cdn2.thedogapi.com/images/26pHT3Qk7.jpg'}",
6,65,115,29,52,24,28,61,71,Akita,Hunting bears,Working,10,14,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",,BFRYBufpm,"{'id': 'BFRYBufpm', 'width': 1280, 'height': 853, 'url': 'https://cdn2.thedogapi.com/images/BFRYBufpm.jpg'}",
7,55,90,25,41,18,24,46,61,Alapaha Blue Blood Bulldog,Guarding,Mixed,12,13,"Loving, Protective, Trainable, Dutiful, Responsible",,33mJ-V3RX,"{'id': '33mJ-V3RX', 'width': 1828, 'height': 2065, 'url': 'https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg'}",
8,38,50,17,23,23,26,58,66,Alaskan Husky,Sled pulling,Mixed,10,13,"Friendly, Energetic, Loyal, Gentle, Confident",,-HgpNnGXl,"{'id': '-HgpNnGXl', 'width': 500, 'height': 500, 'url': 'https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg'}",
9,65,100,29,45,23,25,58,64,Alaskan Malamute,"Hauling heavy freight, Sled pulling",Working,12,15,"Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",,dW5UucTIW,"{'id': 'dW5UucTIW', 'width': 1023, 'height': 769, 'url': 'https://cdn2.thedogapi.com/images/dW5UucTIW.jpg'}",
10,60,120,27,54,22,27,56,69,American Bulldog,,Working,10,12,"Friendly, Assertive, Energetic, Loyal, Gentle, Confident, Dominant",,pk1AAdloG,"{'id': 'pk1AAdloG', 'width': 1669, 'height': 1377, 'url': 'https://cdn2.thedogapi.com/images/pk1AAdloG.jpg'}",
11,30,150,14,68,14,17,36,43,American Bully,Family companion dog,,8,15,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",,sqQJDtbpY,"{'id': 'sqQJDtbpY', 'width': 1024, 'height': 683, 'url': 'https://cdn2.thedogapi.com/images/sqQJDtbpY.jpg'}",US
12,20,40,9,18,15,19,38,48,American Eskimo Dog,Circus performer,Non-Sporting,12,15,"Friendly, Alert, Reserved, Intelligent, Protective",,Bymjyec4m,"{'id': 'Bymjyec4m', 'width': 1000, 'height': 802, 'url': 'https://cdn2.thedogapi.com/images/Bymjyec4m.jpg'}",US
13,7,10,3,5,9,12,23,30,American Eskimo Dog (Miniature),Companionship,,13,15,"Friendly, Alert, Reserved, Intelligent, Protective",,_gn8GLrE6,"{'id': '_gn8GLrE6', 'width': 730, 'height': 487, 'url': 'https://cdn2.thedogapi.com/images/_gn8GLrE6.jpg'}",US
14,65,75,29,34,21,28,53,71,American Foxhound,"Fox hunting, scent hound",Hound,8,15,"Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving",,S14n1x9NQ,"{'id': 'S14n1x9NQ', 'width': 3000, 'height': 2400, 'url': 'https://cdn2.thedogapi.com/images/S14n1x9NQ.jpg'}",US
15,30,60,14,27,17,21,43,53,American Pit Bull Terrier,Fighting,Terrier,10,15,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",,HkC31gcNm,"{'id': 'HkC31gcNm', 'width': 300, 'height': 244, 'url': 'https://cdn2.thedogapi.com/images/HkC31gcNm.png'}",US
16,50,60,23,27,17,19,43,48,American Staffordshire Terrier,,Terrier,12,15,"Tenacious, Friendly, Devoted, Loyal, Attentive, Courageous",,rJIakgc4m,"{'id': 'rJIakgc4m', 'width': 357, 'height': 500, 'url': 'https://cdn2.thedogapi.com/images/rJIakgc4m.jpg'}",US
17,25,45,11,20,15,18,38,46,American Water Spaniel,Bird flushing and retrieving,Sporting,10,12,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable",,SkmRJl9VQ,"{'id': 'SkmRJl9VQ', 'width': 1600, 'height': 1264, 'url': 'https://cdn2.thedogapi.com/images/SkmRJl9VQ.jpg'}",US
18,80,150,36,68,27,29,69,74,Anatolian Shepherd Dog,Livestock herding,Working,11,13,"Steady, Bold, Independent, Confident, Intelligent, Proud",,BJT0Jx5Nm,"{'id': 'BJT0Jx5Nm', 'width': 1216, 'height': 1131, 'url': 'https://cdn2.thedogapi.com/images/BJT0Jx5Nm.jpg'}",
19,48,55,22,25,20,22,51,56,Appenzeller Sennenhund,"Herding livestock, pulling carts, and guarding the farm",,12,14,"Reliable, Fearless, Energetic, Lively, Self-assured",,HkNkxlqEX,"{'id': 'HkNkxlqEX', 'width': 400, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/HkNkxlqEX.jpg'}",
21,44,62,20,28,17,20,43,51,Australian Cattle Dog,"Cattle herding, herding trials",Herding,12,14,"Cautious, Energetic, Loyal, Obedient, Protective, Brave",,IBkYVm4v1,"{'id': 'IBkYVm4v1', 'width': 736, 'height': 850, 'url': 'https://cdn2.thedogapi.com/images/IBkYVm4v1.jpg'}",AU
22,31,46,14,21,17,20,43,51,Australian Kelpie,"Farm dog, Cattle herding",Herding,10,13,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager",,Hyq1ge9VQ,"{'id': 'Hyq1ge9VQ', 'width': 800, 'height': 533, 'url': 'https://cdn2.thedogapi.com/images/Hyq1ge9VQ.jpg'}",AU
23,35,65,16,29,18,23,46,58,Australian Shepherd,Sheep herding,Herding,12,16,"Good-natured, Affectionate, Intelligent, Active, Protective",,B1-llgq4m,"{'id': 'B1-llgq4m', 'width': 1200, 'height': 733, 'url': 'https://cdn2.thedogapi.com/images/B1-llgq4m.jpg'}",AU
24,14,16,6,7,10,11,25,28,Australian Terrier,"Cattle herdering, hunting snakes and rodents",Terrier,15,15,"Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",,r1Ylge5Vm,"{'id': 'r1Ylge5Vm', 'width': 1081, 'height': 720, 'url': 'https://cdn2.thedogapi.com/images/r1Ylge5Vm.jpg'}",AU
25,33,55,15,25,23,29,58,74,Azawakh,"Livestock guardian, hunting",Hound,10,13,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",,SkvZgx94m,"{'id': 'SkvZgx94m', 'width': 1024, 'height': 768, 'url': 'https://cdn2.thedogapi.com/images/SkvZgx94m.jpg'}",
26,40,65,18,29,20,26,51,66,Barbet,Hunting water game,,13,15,"Obedient, Companionable, Intelligent, Joyful",,HyWGexcVQ,"{'id': 'HyWGexcVQ', 'width': 853, 'height': 1280, 'url': 'https://cdn2.thedogapi.com/images/HyWGexcVQ.jpg'}",
28,22,24,10,11,16,17,41,43,Basenji,Hunting,Hound,10,12,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",,H1dGlxqNQ,"{'id': 'H1dGlxqNQ', 'width': 740, 'height': 493, 'url': 'https://cdn2.thedogapi.com/images/H1dGlxqNQ.jpg'}",
29,35,40,16,18,13,15,33,38,Basset Bleu de Gascogne,Hunting on foot.,Hound,10,14,"Affectionate, Lively, Agile, Curious, Happy, Active",,BkMQll94X,"{'id': 'BkMQll94X', 'width': 1280, 'height': 853, 'url': 'https://cdn2.thedogapi.com/images/BkMQll94X.jpg'}",
