,id,name,bred_for,breed_group,life_span,temperament,origin,reference_image_id,weight.imperial,weight.metric,height.imperial,height.metric,image.id,image.width,image.height,image.url,country_code,description,history,lifespan_min,lifespan_max,imperial_weight_min,imperial_weight_max,imperial_height_min,imperial_height_max,metric_weight_min,metric_weight_max,metric_height_min,metric_height_max
0,1,Affenpinscher,"Small rodent hunting, lapdog",Toy,10 - 12 years,"Stubborn, Curious, Playful, Adventurous, Active, Fun-loving","Germany, France",BJa4kxc4X,6 - 13,3 - 6,9 - 11.5,23 - 29,BJa4kxc4X,1600,1199,https://cdn2.thedogapi.com/images/BJa4kxc4X.jpg,,,,10,12,6,13,9,11.5,3,6,23,29
1,2,Afghan Hound,Coursing and hunting,Hound,10 - 13 years,"Aloof, Clownish, Dignified, Independent, Happy","Afghanistan, Iran, Pakistan",hMyT4CDXR,50 - 60,23 - 27,25 - 27,64 - 69,hMyT4CDXR,606,380,https://cdn2.thedogapi.com/images/hMyT4CDXR.jpg,AG,,,10,13,50,60,25,27,23,27,64,69
2,3,African Hunting Dog,A wild pack animal,,11 years,"Wild, Hardworking, Dutiful",,rkiByec47,44 - 66,20 - 30,30,76,rkiByec47,500,335,https://cdn2.thedogapi.com/images/rkiByec47.jpg,,,,11,,44,66,30,,20,30,76,
3,4,Airedale Terrier,"Badger, otter hunting",Terrier,10 - 13 years,"Outgoing, Friendly, Alert, Confident, Intelligent, Courageous","United Kingdom, England",1-7cgoZSh,40 - 65,18 - 29,21 - 23,53 - 58,1-7cgoZSh,645,430,https://cdn2.thedogapi.com/images/1-7cgoZSh.jpg,,,,10,13,40,65,21,23,18,29,53,58
4,5,Akbash Dog,Sheep guarding,Working,10 - 12 years,"Loyal, Independent, Intelligent, Brave",,26pHT3Qk7,90 - 120,41 - 54,28 - 34,71 - 86,26pHT3Qk7,600,471,https://cdn2.thedogapi.com/images/26pHT3Qk7.jpg,,,,10,12,90,120,28,34,41,54,71,86
5,6,Akita,Hunting bears,Working,10 - 14 years,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",,BFRYBufpm,65 - 115,29 - 52,24 - 28,61 - 71,BFRYBufpm,1280,853,https://cdn2.thedogapi.com/images/BFRYBufpm.jpg,,,,10,14,65,115,24,28,29,52,61,71
6,7,Alapaha Blue Blood Bulldog,Guarding,Mixed,12 - 13 years,"Loving, Protective, Trainable, Dutiful, Responsible",,33mJ-V3RX,55 - 90,25 - 41,18 - 24,46 - 61,33mJ-V3RX,1828,2065,https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg,,"The Alapaha Blue Blood Bulldog is a well-developed, exaggerated bulldog with a broad head and natural drop ears. The prominent muzzle is covered by loose per lips. The prominent eyes are set well apart. The Alapaha's coat is relatively short and fairly stiff. Preferred colors are blue merle, brown merle, or red merle all trimmed in white or chocolate and white. Also preferred are the glass eyes (blue) or marble eyes (brown and blue mixed in a single eye). The ears and tail are never trimmed or docked. The body is sturdy and very muscular. The well-muscled hips are narrower than the chest. The straight back is as long as the dog is high at the shoulders. The dewclaws are never removed and the feet are cat-like.",,12,13,55,90,18,24,25,41,46,61
7,8,Alaskan Husky,Sled pulling,Mixed,10 - 13 years,"Friendly, Energetic, Loyal, Gentle, Confident",,-HgpNnGXl,38 - 50,17 - 23,23 - 26,58 - 66,-HgpNnGXl,500,500,https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg,,,,10,13,38,50,23,26,17,23,58,66
8,9,Alaskan Malamute,"Hauling heavy freight, Sled pulling",Working,12 - 15 years,"Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",,dW5UucTIW,65 - 100,29 - 45,23 - 25,58 - 64,dW5UucTIW,1023,769,https://cdn2.thedogapi.com/images/dW5UucTIW.jpg,,,,12,15,65,100,23,25,29,45,58,64
9,10,American Bulldog,,Working,10 - 12 years,"Friendly, Assertive, Energetic, Loyal, Gentle, Confident, Dominant",,pk1AAdloG,60 - 120,27 - 54,22 - 27,56 - 69,pk1AAdloG,1669,1377,https://cdn2.thedogapi.com/images/pk1AAdloG.jpg,,,,10,12,60,120,22,27,27,54,56,69
